Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Baseball vs Tiffin University (Ohio)","2/14/2025","TBD","2/14/2025","3:00 AM","Westfield, Indiana","Baseball","Baseball vs Tiffin University (Ohio) Westfield, Indiana","Grand Park"
"Baseball vs University of Findlay","2/15/2025","TBD","2/15/2025","3:00 AM","Westfield, Indiana","Baseball","Baseball vs University of Findlay Westfield, Indiana","Grand Park"
"Baseball vs University of Findlay","2/15/2025","TBD","2/15/2025","3:00 AM","Westfield, Indiana","Baseball","Baseball vs University of Findlay Westfield, Indiana","Grand Park"
"Baseball vs Tiffin University (Ohio)","2/16/2025","TBD","2/16/2025","3:00 AM","Westfield, Indiana","Baseball","Baseball vs Tiffin University (Ohio) Westfield, Indiana","Grand Park"
"Baseball vs Colorado State University Pueblo","2/21/2025","11:00AM","2/21/2025","2:00 PM","Springfield, Missouri","Baseball","Baseball vs Colorado State University Pueblo Springfield, Missouri","Mark Worley Field at Meador Park"
"Baseball vs Maryville University","2/22/2025","2:30 PM","2/22/2025","5:30 PM","Springfield, Missouri","Baseball","Baseball vs Maryville University Springfield, Missouri","Mark Worley Field at Meador Park"
"Baseball vs Maryville University","2/22/2025","4:30PM","2/22/2025","7:30 PM","Springfield, Missouri","Baseball","Baseball vs Maryville University Springfield, Missouri","Mark Worley Field at Meador Park"
"Baseball at Drury University","2/23/2025","12:00PM","2/23/2025","3:00 PM","Springfield, Missouri","Baseball","Baseball at Drury University Springfield, Missouri","Mark Worley Field at Meador Park"
"Baseball at University of Indianapolis","3/1/2025","TBD","3/1/2025","3:00 AM","Indianapolis, Indiana","Baseball","Baseball at University of Indianapolis Indianapolis, Indiana","Bill Bright Field"
"Baseball at University of Indianapolis","3/1/2025","TBD","3/1/2025","3:00 AM","Indianapolis, Indiana","Baseball","Baseball at University of Indianapolis Indianapolis, Indiana","Bill Bright Field"
"Baseball at University of Indianapolis","3/2/2025","TBD","3/2/2025","3:00 AM","Indianapolis, Indiana","Baseball","Baseball at University of Indianapolis Indianapolis, Indiana","Bill Bright Field"
"Baseball at Grand Valley State University","3/5/2025","TBD","3/5/2025","3:00 AM","Lakeland, Florida","Baseball","Baseball at Grand Valley State University Lakeland, Florida","Russmatt"
"Baseball at Grand Valley State University","3/5/2025","TBD","3/5/2025","3:00 AM","Lakeland, Florida","Baseball","Baseball at Grand Valley State University Lakeland, Florida","Russmatt"
"Baseball at Grand Valley State University","3/6/2025","TBD","3/6/2025","3:00 AM","Lakeland, Florida","Baseball","Baseball at Grand Valley State University Lakeland, Florida","Russmatt"
"Baseball at Grand Valley State University","3/7/2025","TBD","3/7/2025","3:00 AM","Lakeland, Florida","Baseball","Baseball at Grand Valley State University Lakeland, Florida","Russmatt"
"Baseball at Grand Valley State University","3/7/2025","TBD","3/7/2025","3:00 AM","Lakeland, Florida","Baseball","Baseball at Grand Valley State University Lakeland, Florida","Russmatt"
"Baseball at Grand Valley State University","3/8/2025","TBD","3/8/2025","3:00 AM","Lakeland, Florida","Baseball","Baseball at Grand Valley State University Lakeland, Florida","Russmatt"
"Baseball vs Gannon University","3/14/2025","3:00PM","3/14/2025","6:00 PM","Allendale, Michigan","Baseball","Baseball vs Gannon University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Gannon University","3/15/2025","1:00PM","3/15/2025","4:00 PM","Allendale, Michigan","Baseball","Baseball vs Gannon University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Gannon University","3/15/2025","3:30PM","3/15/2025","6:30 PM","Allendale, Michigan","Baseball","Baseball vs Gannon University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Gannon University","3/16/2025","12:00PM","3/16/2025","3:00 PM","Allendale, Michigan","Baseball","Baseball vs Gannon University Allendale, Michigan","GVSU Baseball Field"
"Baseball at Parkside","3/21/2025","3:00PM","3/21/2025","6:00 PM","Kenosha, Wisconsin","Baseball","Baseball at Parkside Kenosha, Wisconsin","Historic Simmons Field"
"Baseball at Parkside","3/22/2025","1:00PM","3/22/2025","4:00 PM","Kenosha, Wisconsin","Baseball","Baseball at Parkside Kenosha, Wisconsin","Historic Simmons Field"
"Baseball at Parkside","3/22/2025","3:30PM","3/22/2025","6:30 PM","Kenosha, Wisconsin","Baseball","Baseball at Parkside Kenosha, Wisconsin","Historic Simmons Field"
"Baseball at Parkside","3/23/2025","12:00PM","3/23/2025","3:00 PM","Kenosha, Wisconsin","Baseball","Baseball at Parkside Kenosha, Wisconsin","Historic Simmons Field"
"Baseball at Davenport University","3/28/2025","3:00PM","3/28/2025","6:00 PM","Caledonia, Michigan","Baseball","Baseball at Davenport University Caledonia, Michigan","Farmers Insurance Athletic Complex"
"Baseball at Davenport University","3/29/2025","1:00PM","3/29/2025","4:00 PM","Caledonia, Michigan","Baseball","Baseball at Davenport University Caledonia, Michigan","Farmers Insurance Athletic Complex"
"Baseball at Davenport University","3/29/2025","3:30PM","3/29/2025","6:30 PM","Caledonia, Michigan","Baseball","Baseball at Davenport University Caledonia, Michigan","Farmers Insurance Athletic Complex"
"Baseball at Davenport University","3/30/2025","12:00PM","3/30/2025","3:00 PM","Caledonia, Michigan","Baseball","Baseball at Davenport University Caledonia, Michigan","Farmers Insurance Athletic Complex"
"Baseball vs Saginaw Valley State University","4/4/2025","3:00PM","4/4/2025","6:00 PM","Allendale, Michigan","Baseball","Baseball vs Saginaw Valley State University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Saginaw Valley State University","4/5/2025","1:00PM","4/5/2025","4:00 PM","Allendale, Michigan ","Baseball","Baseball vs Saginaw Valley State University Allendale, Michigan ","GVSU Baseball Field"
"Baseball vs Saginaw Valley State University","4/5/2025","3:30PM","4/5/2025","6:30 PM","Allendale, Michigan","Baseball","Baseball vs Saginaw Valley State University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Saginaw Valley State University","4/6/2025","12:00PM","4/6/2025","3:00 PM","Allendale, Michigan","Baseball","Baseball vs Saginaw Valley State University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Roosevelt University","4/11/2025","3:00PM","4/11/2025","6:00 PM","Allendale, Michigan","Baseball","Baseball vs Roosevelt University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Roosevelt University","4/12/2025","1:00PM","4/12/2025","4:00 PM","Allendale, Michigan","Baseball","Baseball vs Roosevelt University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Roosevelt University","4/12/2025","3:30PM","4/12/2025","6:30 PM","Allendale, Michigan","Baseball","Baseball vs Roosevelt University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Roosevelt University","4/13/2025","12:00PM","4/13/2025","3:00 PM","Allendale, Michigan","Baseball","Baseball vs Roosevelt University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Northwood University","4/15/2025","","4/15/2025","3:00 AM","Allendale, Michigan","Baseball","Baseball vs Northwood University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Wayne State University","4/17/2025","3:00PM","4/17/2025","6:00 PM","Allendale, Michigan","Baseball","Baseball vs Wayne State University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Wayne State University","4/18/2025","1:00PM","4/18/2025","4:00 PM","Allendale, Michigan","Baseball","Baseball vs Wayne State University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Wayne State University","4/18/2025","3:30PM","4/18/2025","6:30 PM","Allendale, Michigan","Baseball","Baseball vs Wayne State University Allendale, Michigan","GVSU Baseball Field"
"Baseball vs Wayne State University","4/19/2025","12:00PM","4/19/2025","3:00 PM","Allendale, Michigan","Baseball","Baseball vs Wayne State University Allendale, Michigan","GVSU Baseball Field"
"Baseball at Purdue University Northwest","4/25/2025","3:00PM","4/25/2025","6:00 PM","Hammond, Ind.","Baseball","Baseball at Purdue University Northwest Hammond, Ind.",""
"Baseball at Purdue University Northwest","4/26/2025","1:00PM","4/26/2025","4:00 PM","Hammond, Ind.","Baseball","Baseball at Purdue University Northwest Hammond, Ind.",""
"Baseball at Purdue University Northwest","4/26/2025","3:30PM","4/26/2025","6:30 PM","Hammond, Ind.","Baseball","Baseball at Purdue University Northwest Hammond, Ind.",""
"Baseball at Purdue University Northwest","4/27/2025","12:00PM","4/27/2025","3:00 PM","Hammond, Ind.","Baseball","Baseball at Purdue University Northwest Hammond, Ind.",""
"Baseball vs Upper Iowa University","5/1/2025","TBD","5/1/2025","3:00 AM","Peru, Illinois ","Baseball","Baseball vs Upper Iowa University Peru, Illinois ",""
"Baseball vs Upper Iowa University","5/2/2025","TBD","5/2/2025","3:00 AM","Peru, Illinois ","Baseball","Baseball vs Upper Iowa University Peru, Illinois ",""
"Baseball vs Upper Iowa University","5/2/2025","TBD","5/2/2025","3:00 AM","Peru, Illinois ","Baseball","Baseball vs Upper Iowa University Peru, Illinois ",""
"Baseball vs GLIAC","5/8/2025","TBD","5/8/2025","3:00 AM","Lansing, Michigan","Baseball","Baseball vs GLIAC Lansing, Michigan",""
"Baseball vs GLIAC","5/9/2025","TBD","5/9/2025","3:00 AM","Lansing, Michigan","Baseball","Baseball vs GLIAC Lansing, Michigan",""
"Baseball vs GLIAC","5/10/2025","TBD","5/10/2025","3:00 AM","Lansing, Michigan","Baseball","Baseball vs GLIAC Lansing, Michigan",""
"Baseball vs GLIAC","5/11/2025","TBD","5/11/2025","3:00 AM","Lansing, Michigan","Baseball","Baseball vs GLIAC Lansing, Michigan",""
"Baseball vs Regionals","5/15/2025","TBD","5/15/2025","3:00 AM","TBD","Baseball","Baseball vs Regionals TBD",""
"Baseball vs Super Regionals","5/23/2025","TBD","5/23/2025","3:00 AM","TBD","Baseball","Baseball vs Super Regionals TBD",""
"Baseball vs World Series ","5/31/2025","TBD","5/31/2025","3:00 AM","Cary, North Carolina","Baseball","Baseball vs World Series  Cary, North Carolina",""
